ts_code,symbol,exchange,name,fut_code,multiplier,trade_unit,per_unit,quote_unit,quote_unit_desc,d_mode_desc,list_date,delist_date,d_month,last_ddate
TS2512.CFX,TS2512,CFFEX,TS2512,TS,20000,张,1,人民币元,0.002人民币元,实物交割,20250317,20251212,202512,20251217
TS2506.CFX,TS2506,CFFEX,TS2506,TS,20000,张,1,人民币元,0.002人民币元,实物交割,20240918,20250613,202506,20250618
TL2306.CFX,TL2306,CFFEX,TL2306,TL,10000,张,1,人民币元,0.01人民币元,实物交割,20230421,20230609,202306,20230614
TL2309.CFX,TL2309,CFFEX,TL2309,TL,10000,张,1,人民币元,0.01人民币元,实物交割,20230421,20230908,202309,20230913
TL2312.CFX,TL2312,CFFEX,TL2312,TL,10000,张,1,人民币元,0.01人民币元,实物交割,20230421,20231208,202312,20231213
IH2510.CFX,IH2510,CFFEX,IH2510,IH,300,张,1,指数点,0.2指数点,现金交割,20250818,20251017,202510,20251017
IC2001.CFX,IC2001,CFFEX,IC2001,IC,200,张,1,指数点,0.2指数点,现金交割,20191118,20200117,202001,20200117
IF2001.CFX,IF2001,CFFEX,IF2001,IF,300,张,1,指数点,0.2指数点,现金交割,20191118,20200117,202001,20200117
IH2001.CFX,IH2001,CFFEX,IH2001,IH,300,张,1,指数点,0.2指数点,现金交割,20191118,20200117,202001,20200117
IF1807.CFX,IF1807,CFFEX,IF1807,IF,300,张,1,指数点,0.2指数点,现金交割,20180521,20180720,201807,20180720
IH1807.CFX,IH1807,CFFEX,IH1807,IH,300,张,1,指数点,0.2指数点,现金交割,20180521,20180720,201807,20180720
IC1807.CFX,IC1807,CFFEX,IC1807,IC,200,张,1,指数点,0.2指数点,现金交割,20180521,20180720,201807,20180720
IF2211.CFX,IF2211,CFFEX,IF2211,IF,300,张,1,指数点,0.2指数点,现金交割,20220919,20221118,202211,20221118
IF2406.CFX,IF2406,CFFEX,IF2406,IF,300,张,1,指数点,0.2指数点,现金交割,20231023,20240621,202406,20240621
IC1605.CFX,IC1605,CFFEX,IC1605,IC,200,张,1,指数点,0.2指数点,现金交割,20160321,20160520,201605,20160520
IH2312.CFX,IH2312,CFFEX,IH2312,IH,300,张,1,指数点,0.2指数点,现金交割,20230424,20231215,202312,20231215
IH1604.CFX,IH1604,CFFEX,IH1604,IH,300,张,1,指数点,0.2指数点,现金交割,20160222,20160415,201604,20160415
IH1603.CFX,IH1603,CFFEX,IH1603,IH,300,张,1,指数点,0.2指数点,现金交割,20150720,20160318,201603,20160318
IH2301.CFX,IH2301,CFFEX,IH2301,IH,300,张,1,指数点,0.2指数点,现金交割,20221121,20230120,202301,20230120
T2009.CFX,T2009,CFFEX,T2009,T,10000,张,1,人民币元,0.005人民币元,实物交割,20191216,20200911,202009,20200916
TF2009.CFX,TF2009,CFFEX,TF2009,TF,10000,张,1,人民币元,0.005人民币元,实物交割,20191216,20200911,202009,20200916
TS2009.CFX,TS2009,CFFEX,TS2009,TS,20000,张,1,人民币元,0.002人民币元,实物交割,20191216,20200911,202009,20200916
